                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.285,                 2.4584,                 1.4521,                0.81065,                0.72577,                 0.7947,                0.58881,                 1.0917,                 1.0329,                 1.2763,              0.0001007,              0.0001007,              0.0001007
                      2,                 1.1842,                 1.0978,                 1.3082,                0.79978,                0.81231,                 0.8722,                0.65104,                 1.0703,                0.81195,                 1.2458,              0.0001997,              0.0001997,              0.0001997
                      3,                 1.1801,                 0.9741,                 1.3008,                0.75496,                0.84995,                0.86521,                0.63621,                 1.0981,                0.77502,                 1.2887,             0.00029671,             0.00029671,             0.00029671
                      4,                 1.1653,                0.91231,                 1.2987,                0.83149,                0.87039,                 0.8967,                0.66325,                 1.0788,                0.71181,                 1.2637,               0.000294,               0.000294,               0.000294
                      5,                 1.1439,                0.85265,                 1.2843,                0.82265,                0.90509,                 0.8904,                0.66396,                 1.0855,                0.69576,                 1.2719,               0.000294,               0.000294,               0.000294
                      6,                 1.1429,                0.82604,                  1.283,                0.83993,                0.92578,                0.92397,                0.70433,                 1.0257,                 0.6023,                 1.2165,               0.000291,               0.000291,               0.000291
                      7,                 1.1173,                0.77955,                 1.2601,                0.87208,                0.85824,                 0.9067,                0.68352,                 1.0357,                0.62266,                 1.2287,               0.000288,               0.000288,               0.000288
                      8,                 1.1015,                 0.7455,                 1.2557,                0.86967,                  0.894,                 0.9103,                0.69015,                  1.036,                0.60545,                 1.2171,               0.000285,               0.000285,               0.000285
                      9,                 1.0845,                0.72403,                 1.2429,                0.87621,                0.86596,                0.90633,                0.68657,                 1.0558,                0.62092,                 1.2365,               0.000282,               0.000282,               0.000282
                     10,                 1.0715,                0.70661,                 1.2374,                0.86674,                0.90104,                0.91487,                0.69856,                 1.0278,                0.58393,                 1.2173,               0.000279,               0.000279,               0.000279
                     11,                 1.0635,                0.69364,                 1.2358,                0.87507,                0.90464,                0.91468,                0.71057,                 1.0214,                0.56061,                 1.1984,               0.000276,               0.000276,               0.000276
                     12,                  1.063,                0.68257,                 1.2255,                0.87824,                 0.9058,                 0.9311,                0.71502,                 1.0284,                0.55511,                 1.2031,               0.000273,               0.000273,               0.000273
                     13,                 1.0393,                0.65938,                 1.2145,                0.86186,                0.90226,                0.91649,                0.70557,                 1.0187,                0.56711,                 1.2037,                0.00027,                0.00027,                0.00027
                     14,                 1.0392,                0.65484,                 1.2194,                0.85887,                0.89789,                0.92282,                0.70823,                 1.0334,                0.55804,                 1.2211,               0.000267,               0.000267,               0.000267
                     15,                 1.0249,                0.64114,                 1.2089,                0.85812,                0.91342,                0.93046,                0.72267,                0.99211,                0.53399,                 1.1882,               0.000264,               0.000264,               0.000264
                     16,                 1.0183,                0.62786,                 1.2009,                0.84491,                0.93511,                0.93288,                0.72914,                 1.0185,                0.54576,                  1.202,               0.000261,               0.000261,               0.000261
                     17,                 1.0128,                0.62645,                 1.2008,                0.85335,                0.91223,                 0.9298,                0.72857,                  1.017,                0.54848,                 1.1953,               0.000258,               0.000258,               0.000258
                     18,                0.99926,                0.60602,                 1.1924,                0.89211,                0.92528,                0.93764,                0.73862,                0.99522,                0.51212,                 1.1975,               0.000255,               0.000255,               0.000255
                     19,                0.98884,                0.60381,                 1.1882,                0.86468,                0.92425,                0.93503,                0.72746,                0.98031,                0.51794,                 1.1823,             0.00025201,             0.00025201,             0.00025201
                     20,                0.99192,                 0.5981,                 1.1842,                0.89322,                0.90282,                0.93803,                0.73603,                0.98399,                0.50769,                  1.183,             0.00024901,             0.00024901,             0.00024901
                     21,                0.96719,                0.58116,                 1.1713,                0.88575,                 0.9366,                0.93498,                0.72991,                 1.0098,                0.52097,                  1.197,             0.00024601,             0.00024601,             0.00024601
                     22,                0.97217,                0.59111,                 1.1751,                0.86776,                0.92341,                 0.9358,                0.73412,                 0.9892,                0.49525,                 1.1663,             0.00024301,             0.00024301,             0.00024301
                     23,                0.95712,                0.57361,                 1.1654,                0.88292,                0.92239,                0.93067,                0.73184,                 1.0068,                0.51165,                 1.1824,             0.00024001,             0.00024001,             0.00024001
                     24,                0.95546,                0.57034,                 1.1686,                0.88179,                0.91649,                0.92778,                0.72132,                 1.0033,                0.53451,                 1.1974,             0.00023701,             0.00023701,             0.00023701
                     25,                0.95291,                0.56504,                 1.1654,                0.85855,                0.92818,                0.93236,                0.73844,                0.99725,                 0.4985,                 1.1864,             0.00023401,             0.00023401,             0.00023401
                     26,                0.94178,                0.55978,                 1.1608,                 0.8895,                0.93845,                0.93562,                0.73966,                 0.9871,                0.49901,                 1.1811,             0.00023101,             0.00023101,             0.00023101
                     27,                0.93417,                0.54741,                 1.1512,                0.89562,                0.92205,                0.93493,                0.73966,                0.99493,                0.48865,                 1.1937,             0.00022801,             0.00022801,             0.00022801
                     28,                0.93611,                 0.5516,                 1.1542,                0.88824,                0.92452,                0.93207,                0.72926,                0.98501,                0.50259,                 1.1875,             0.00022501,             0.00022501,             0.00022501
                     29,                0.91895,                0.53756,                 1.1434,                0.89234,                0.91915,                0.93829,                0.74203,                0.98613,                0.49239,                 1.1774,             0.00022201,             0.00022201,             0.00022201
                     30,                0.91649,                0.53779,                 1.1418,                0.89695,                0.92279,                0.93764,                0.74085,                0.99727,                 0.4848,                 1.1873,             0.00021901,             0.00021901,             0.00021901
                     31,                0.92015,                0.53333,                 1.1449,                0.89574,                0.93061,                0.94219,                0.74381,                0.99555,                0.49087,                  1.184,             0.00021601,             0.00021601,             0.00021601
                     32,                0.90462,                0.52413,                 1.1343,                0.89172,                0.94102,                0.93805,                0.74386,                 1.0138,                0.48546,                  1.199,             0.00021301,             0.00021301,             0.00021301
                     33,                0.89969,                0.51992,                  1.133,                0.88241,                0.92503,                0.93454,                0.73631,                 1.0136,                0.50083,                  1.193,             0.00021001,             0.00021001,             0.00021001
                     34,                0.89107,                0.51561,                 1.1227,                0.88271,                0.93187,                0.93692,                0.74733,                0.98703,                0.48345,                 1.1828,             0.00020701,             0.00020701,             0.00020701
                     35,                0.88274,                0.51053,                 1.1225,                0.90053,                0.91914,                0.93315,                0.73782,                0.99748,                0.48648,                  1.186,             0.00020401,             0.00020401,             0.00020401
                     36,                0.88084,                0.50446,                 1.1195,                0.89813,                0.91504,                 0.9356,                 0.7444,                 1.0046,                0.49431,                 1.1818,             0.00020101,             0.00020101,             0.00020101
                     37,                 0.8828,                0.50428,                 1.1229,                0.90103,                 0.9221,                0.93528,                0.73609,                 1.0044,                0.49776,                 1.2081,             0.00019801,             0.00019801,             0.00019801
                     38,                0.86667,                0.50203,                  1.111,                0.86675,                0.93719,                0.92974,                 0.7332,                 1.0078,                0.48501,                 1.1905,             0.00019501,             0.00019501,             0.00019501
                     39,                0.86229,                0.49046,                 1.1071,                0.88702,                0.93051,                0.93671,                 0.7397,                0.99645,                0.46335,                 1.1822,             0.00019201,             0.00019201,             0.00019201
                     40,                0.85796,                0.49004,                 1.1081,                 0.8869,                0.93719,                0.94058,                0.75116,                 1.0001,                0.47423,                 1.1819,             0.00018901,             0.00018901,             0.00018901
                     41,                0.85785,                0.49102,                 1.1083,                0.91154,                0.92276,                 0.9474,                0.74074,                0.98857,                0.47629,                 1.1886,             0.00018601,             0.00018601,             0.00018601
                     42,                0.85724,                0.48604,                 1.1048,                0.88344,                0.93042,                0.94134,                0.73861,                 1.0027,                0.47933,                 1.1971,             0.00018301,             0.00018301,             0.00018301
                     43,                0.84977,                 0.4786,                 1.1023,                0.89392,                0.91525,                 0.9365,                0.73789,                 0.9969,                0.49275,                 1.1978,             0.00018001,             0.00018001,             0.00018001
                     44,                0.84144,                0.47081,                  1.098,                0.88621,                0.93257,                0.93675,                0.72915,                 1.0099,                0.47784,                 1.1946,             0.00017701,             0.00017701,             0.00017701
                     45,                0.83853,                0.48325,                  1.094,                0.90696,                0.91201,                0.93565,                0.73464,                 1.0068,                0.47311,                 1.1966,             0.00017401,             0.00017401,             0.00017401
                     46,                0.82903,                0.47046,                 1.0918,                0.89499,                0.91278,                0.93614,                0.74511,                 1.0105,                0.47901,                 1.2028,             0.00017101,             0.00017101,             0.00017101
                     47,                0.83026,                0.46893,                  1.096,                0.89228,                0.92958,                0.93391,                0.73981,                 1.0057,                0.47875,                 1.1985,             0.00016801,             0.00016801,             0.00016801
                     48,                 0.8223,                0.46051,                 1.0892,                 0.9019,                 0.9358,                0.94156,                0.74558,                 1.0084,                0.47095,                 1.2044,             0.00016501,             0.00016501,             0.00016501
                     49,                 0.8212,                0.45839,                 1.0891,                0.91227,                0.91757,                0.94366,                0.74118,                 1.0102,                0.47355,                  1.202,             0.00016201,             0.00016201,             0.00016201
                     50,                0.81905,                0.45849,                 1.0878,                0.88288,                0.92768,                 0.9399,                0.74767,                 1.0003,                0.47518,                 1.2004,             0.00015901,             0.00015901,             0.00015901
                     51,                  0.804,                0.45094,                 1.0781,                0.90527,                0.91598,                 0.9409,                0.74656,                 1.0184,                0.47314,                 1.2091,             0.00015601,             0.00015601,             0.00015601
                     52,                0.80543,                0.45657,                 1.0796,                 0.8769,                0.92747,                0.93679,                0.74369,                 1.0086,                0.47533,                 1.2055,             0.00015301,             0.00015301,             0.00015301
                     53,                0.80005,                0.45143,                 1.0823,                0.89997,                0.91242,                0.93753,                0.74317,                 1.0024,                0.47948,                 1.2168,             0.00015002,             0.00015002,             0.00015002
                     54,                0.79422,                0.44237,                  1.075,                0.87607,                0.93973,                  0.942,                0.74531,                 1.0018,                0.46865,                 1.2078,             0.00014702,             0.00014702,             0.00014702
                     55,                0.79989,                  0.444,                  1.081,                0.87905,                0.94367,                0.94236,                0.75114,                0.99993,                0.46856,                 1.2243,             0.00014402,             0.00014402,             0.00014402
                     56,                0.79486,                0.44019,                 1.0745,                  0.905,                0.91347,                0.94487,                0.75512,                0.99965,                 0.4605,                 1.2309,             0.00014102,             0.00014102,             0.00014102
                     57,                0.78623,                0.43854,                 1.0687,                0.89056,                0.94158,                0.94253,                0.74435,                 1.0047,                0.47815,                 1.2155,             0.00013802,             0.00013802,             0.00013802
                     58,                0.78577,                0.43296,                 1.0689,                0.90439,                0.93315,                0.93884,                 0.7486,                0.99833,                0.46456,                 1.2191,             0.00013502,             0.00013502,             0.00013502
                     59,                0.77019,                0.42905,                 1.0678,                0.91394,                0.91881,                0.94702,                0.74974,                 0.9976,                0.46926,                 1.2361,             0.00013202,             0.00013202,             0.00013202
                     60,                0.77376,                0.42726,                 1.0645,                0.92146,                0.91857,                0.94723,                0.75428,                0.99211,                0.46035,                 1.2122,             0.00012902,             0.00012902,             0.00012902
                     61,                0.76746,                0.42607,                 1.0644,                0.89686,                0.91032,                0.93374,                0.73941,                0.99652,                0.47514,                 1.2176,             0.00012602,             0.00012602,             0.00012602
                     62,                0.76359,                0.42584,                 1.0614,                0.91061,                0.91826,                  0.948,                0.74954,                0.99196,                0.47014,                 1.2113,             0.00012302,             0.00012302,             0.00012302
                     63,                0.75835,                0.42304,                 1.0573,                0.90334,                0.92897,                0.93435,                0.74029,                0.99917,                0.46387,                 1.2089,             0.00012002,             0.00012002,             0.00012002
                     64,                0.75509,                0.41875,                 1.0539,                0.91589,                 0.9134,                0.93884,                0.75084,                0.99493,                0.46091,                 1.2086,             0.00011702,             0.00011702,             0.00011702
                     65,                0.75079,                0.41492,                 1.0485,                0.90602,                0.92213,                0.93725,                0.74592,                 1.0034,                 0.4583,                 1.2212,             0.00011402,             0.00011402,             0.00011402
                     66,                0.75067,                 0.4178,                  1.056,                0.89405,                0.93958,                0.94013,                0.74729,                 1.0087,                0.46765,                 1.2359,             0.00011102,             0.00011102,             0.00011102
                     67,                0.74093,                0.40962,                 1.0461,                0.89446,                0.93418,                 0.9367,                0.75242,                0.99713,                0.46533,                 1.2116,             0.00010802,             0.00010802,             0.00010802
                     68,                0.74136,                0.40575,                 1.0479,                0.91566,                0.91839,                0.93883,                0.75283,                0.99383,                0.46238,                  1.221,             0.00010502,             0.00010502,             0.00010502
                     69,                0.73757,                0.40294,                 1.0521,                0.89904,                0.93495,                0.94115,                0.75763,                0.99351,                0.45023,                 1.2267,             0.00010202,             0.00010202,             0.00010202
                     70,                0.72872,                0.40004,                 1.0474,                0.89603,                0.93849,                0.94596,                 0.7604,                 0.9964,                 0.4603,                 1.2253,              9.902e-05,              9.902e-05,              9.902e-05
                     71,                0.72119,                0.39806,                 1.0391,                0.89544,                0.93659,                0.94129,                0.75977,                0.99349,                0.45313,                 1.2178,             9.6021e-05,             9.6021e-05,             9.6021e-05
                     72,                0.71669,                0.39283,                 1.0305,                 0.9227,                 0.9096,                0.94174,                0.75861,                 0.9961,                0.46124,                 1.2144,             9.3021e-05,             9.3021e-05,             9.3021e-05
                     73,                 0.7208,                0.39301,                 1.0371,                0.90965,                0.92031,                0.94067,                0.75591,                0.99307,                0.45886,                 1.2134,             9.0021e-05,             9.0021e-05,             9.0021e-05
                     74,                0.72131,                0.39227,                 1.0296,                0.90771,                0.92009,                0.93949,                0.75072,                0.99209,                0.45773,                 1.2009,             8.7022e-05,             8.7022e-05,             8.7022e-05
                     75,                0.70634,                0.38554,                  1.024,                0.91754,                 0.9196,                0.94167,                0.75803,                0.99489,                 0.4507,                  1.203,             8.4022e-05,             8.4022e-05,             8.4022e-05
                     76,                0.70652,                0.38994,                  1.025,                0.91096,                0.92892,                0.94272,                 0.7589,                0.99123,                0.44936,                 1.2136,             8.1022e-05,             8.1022e-05,             8.1022e-05
                     77,                0.70591,                0.38751,                 1.0334,                0.92464,                0.91167,                0.94038,                0.75629,                0.98858,                0.45551,                 1.2104,             7.8023e-05,             7.8023e-05,             7.8023e-05
                     78,                0.70774,                0.38274,                 1.0284,                0.91617,                0.91615,                0.93817,                0.75213,                0.99994,                0.45979,                 1.2304,             7.5023e-05,             7.5023e-05,             7.5023e-05
                     79,                0.69649,                 0.3824,                 1.0315,                0.90341,                 0.9355,                0.94274,                0.75902,                0.99364,                0.45668,                 1.2268,             7.2023e-05,             7.2023e-05,             7.2023e-05
                     80,                  0.701,                0.38148,                  1.026,                0.89706,                0.93505,                0.94009,                0.75211,                0.99469,                0.45943,                 1.2278,             6.9023e-05,             6.9023e-05,             6.9023e-05
                     81,                0.69151,                0.37716,                 1.0242,                 0.8894,                0.94002,                0.94136,                0.74951,                 0.9978,                0.46337,                 1.2307,             6.6024e-05,             6.6024e-05,             6.6024e-05
                     82,                0.68876,                0.37602,                 1.0223,                0.92033,                0.93206,                0.94633,                0.75561,                 1.0008,                0.46247,                 1.2317,             6.3024e-05,             6.3024e-05,             6.3024e-05
                     83,                0.68009,                0.37303,                 1.0197,                0.90868,                0.92735,                0.93741,                0.75022,                 1.0015,                0.46092,                 1.2317,             6.0024e-05,             6.0024e-05,             6.0024e-05
                     84,                0.68416,                0.37167,                 1.0236,                0.92605,                 0.9152,                0.93964,                0.75361,                 1.0049,                0.45572,                  1.239,             5.7025e-05,             5.7025e-05,             5.7025e-05
                     85,                 0.6805,                0.37162,                 1.0187,                0.91865,                0.91618,                 0.9342,                0.74777,                 1.0001,                0.45765,                 1.2313,             5.4025e-05,             5.4025e-05,             5.4025e-05
                     86,                0.67335,                0.36534,                 1.0176,                0.90086,                0.94219,                 0.9395,                0.75151,                 1.0014,                0.45634,                  1.231,             5.1025e-05,             5.1025e-05,             5.1025e-05
                     87,                0.67471,                0.36652,                 1.0145,                 0.9001,                0.94279,                0.93845,                0.75337,                 1.0033,                0.45768,                 1.2311,             4.8026e-05,             4.8026e-05,             4.8026e-05
                     88,                0.67117,                 0.3649,                 1.0187,                0.89965,                0.93715,                0.93512,                  0.749,                 1.0039,                0.46202,                 1.2409,             4.5026e-05,             4.5026e-05,             4.5026e-05
                     89,                0.66637,                0.36166,                 1.0113,                0.89007,                0.93981,                0.93453,                0.75347,                0.99749,                0.46307,                 1.2378,             4.2026e-05,             4.2026e-05,             4.2026e-05
                     90,                0.66397,                0.36204,                 1.0128,                0.90492,                0.92133,                0.93424,                0.74876,                0.99587,                0.46382,                 1.2394,             3.9026e-05,             3.9026e-05,             3.9026e-05
                     91,                0.63927,                0.29765,                 1.0021,                0.91086,                0.91202,                0.93317,                0.74478,                  1.006,                0.46662,                 1.2532,             3.6027e-05,             3.6027e-05,             3.6027e-05
                     92,                0.62175,                0.29166,                0.98885,                0.91191,                0.91002,                 0.9307,                0.74304,                 1.0118,                0.47011,                 1.2531,             3.3027e-05,             3.3027e-05,             3.3027e-05
                     93,                0.61582,                0.28848,                0.98542,                0.91842,                 0.9072,                 0.9312,                0.74725,                 1.0092,                0.46763,                 1.2508,             3.0027e-05,             3.0027e-05,             3.0027e-05
                     94,                0.60622,                0.28122,                 0.9793,                0.91629,                0.90325,                0.93149,                 0.7474,                  1.008,                 0.4663,                 1.2544,             2.7028e-05,             2.7028e-05,             2.7028e-05
                     95,                0.60542,                0.28331,                0.98037,                0.91114,                0.91114,                0.93284,                0.75183,                 1.0036,                0.46584,                 1.2502,             2.4028e-05,             2.4028e-05,             2.4028e-05
                     96,                 0.5954,                0.27696,                0.97097,                0.91296,                0.90453,                0.93349,                0.75446,                 1.0049,                0.46495,                 1.2526,             2.1028e-05,             2.1028e-05,             2.1028e-05
                     97,                0.59734,                0.28081,                0.97613,                0.91574,                0.90966,                0.93526,                0.75543,                 1.0037,                0.46613,                 1.2601,             1.8029e-05,             1.8029e-05,             1.8029e-05
                     98,                 0.5885,                0.27367,                0.97219,                0.91702,                0.90634,                0.93525,                 0.7565,                 1.0042,                0.46631,                 1.2583,             1.5029e-05,             1.5029e-05,             1.5029e-05
                     99,                0.58538,                0.27235,                0.96365,                0.91917,                 0.9088,                0.93498,                0.75544,                 1.0051,                0.46969,                 1.2566,             1.2029e-05,             1.2029e-05,             1.2029e-05
                    100,                0.58159,                0.27181,                0.96352,                0.91782,                 0.9113,                0.93602,                0.75532,                 1.0057,                0.46927,                 1.2562,             9.0294e-06,             9.0294e-06,             9.0294e-06
